accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
P56611	Tityus bahiensis	Metazoa	84	20.0	1		3
A0A7E5WUT2	Trichoplusia ni	Metazoa	231	19.0	1		3
Q9JMI7	Mus musculus	Metazoa	250	25.0	1		3
Q9NII7	Olivierus martensii	Metazoa	60	22.0	1		3
Q9H3T3	Homo sapiens	Metazoa	888	25.0	1		3
Q765P3	Holotrichia diomphalia	Metazoa	187	19.0	1		3
P84298	Chironomus thummi thummi	Metazoa	161	16.0	1		3
Q9UNE0	Homo sapiens	Metazoa	448	26.0	1		3
A0A7J6K7Y0	Toxoplasma gondii	Other	640	70.0	1		3
Q4W1I8	Zinnia elegans	Plants	321	30.0	1		3
B0KZK1	Acarus siro	Metazoa	517	21.0	1		3
P83326	Actinidia deliciosa	Plants	185	32.0	1		3
P91627	Drosophila miranda	Metazoa	138	16.0	1		3
P13598	Homo sapiens	Metazoa	275	24.0	1		3
Q84V39	Olea europaea	Plants	123	21.0	1		3
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15.0	1		3
P0DPZ2	Scolopendra dehaani	Metazoa	101	23.0	1		3
P13205	Rattus norvegicus	Metazoa	121	26.0	1		3
Q09022	Xenopus laevis	Metazoa	84	18.0	1		3
O02853	Bos taurus	Metazoa	191	28.0	1		3
P06911	Rattus norvegicus	Metazoa	188	19.0	1		3
P50694	Prunus avium	Plants	245	23.0	1		3
O60609	Homo sapiens	Metazoa	400	31.0	1		3
P15522	Camelus dromedarius	Metazoa	155	18.0	1		3
P02659	Gallus gallus	Metazoa	106	24.0	1		3
Q78CF9	Notechis ater	Metazoa	200	19.0	1		3
Q9R1T7	Rattus norvegicus	Metazoa	200	20.0	1		3
P01479	Androctonus australis	Metazoa	83	19.0	1		3
Q90WA1	Pseudonaja textilis textilis	Metazoa	83	24.0	1		3
P26006	Homo sapiens	Metazoa	1051	32.0	1		3
Q5G8A6	Tityus costatus	Metazoa	87	19.0	1		3
P18329	Dendroaspis angusticeps	Metazoa	80	21.0	1		3
P86872	Margaritifera margaritifera	Metazoa	260	19.0	1		3
P24258	Chlamydomonas reinhardtii	Plants	380	20.0	1		3
P02774	Homo sapiens	Metazoa	474	16.0	1		3
P81761	Hottentotta tamulus	Metazoa	62	24.0	1		3
P61769	Homo sapiens	Metazoa	119	20.0	1		3
O55232	Rattus norvegicus	Metazoa	130	32.0	1		3
P21919	Gadus morhua	Metazoa	235	26.0	1		3
P10631	Rattus norvegicus	Metazoa	98	28.0	1		3
O80327	Pyrus pyrifolia	Plants	244	22.0	1		3
P0DL37	Urodacus yaschenkoi	Metazoa	62	24.0	1		3
O04004	Ambrosia artemisiifolia	Plants	118	25.0	1		3
P32881	Homo sapiens	Metazoa	189	23.0	1		3
C0HL63	Drosophila melanogaster	Metazoa	104	18.0	1		3
Q2KJF1	Bos taurus	Metazoa	503	21.0	1		3
P01633	Mus musculus	Metazoa	149	29.0	1		3
P02782	Rattus norvegicus	Metazoa	111	23.0	1		3
P04430	Homo sapiens	Metazoa	117	22.0	1		3
P12724	Homo sapiens	Metazoa	160	27.0	1		3
P07439	Megabalanus rosa	Metazoa	162	24.0	1		3
Q9Y258	Homo sapiens	Metazoa	94	23.0	1		3
P02883	Thaumatococcus daniellii	Plants	235	22.0	1		3
P62931	Pisum sativum	Plants	130	26.0	1		3
P25116	Homo sapiens	Metazoa	425	21.0	1		3
P15226	Tityus serrulatus	Metazoa	84	20.0	1		3
P60215	Tityus obscurus	Metazoa	86	20.0	1		3
Q3UN54	Mus musculus	Metazoa	99	21.0	1		3
P02761	Rattus norvegicus	Metazoa	181	19.0	1		3
Q8WP90	Solenopsis invicta	Metazoa	153	19.0	1		3
P22864	Aspergillus niger	Fungi	373	19.0	1		3
Q71QE8	Crotalus viridis viridis	Metazoa	138	16.0	1		3
P34746	Oreochromis mossambicus	Metazoa	204	17.0	1		3
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51.0	1		3
Q27083	Tachypleus tridentatus	Metazoa	309	31.0	1		3
Q40772	Phytolacca americana	Plants	310	25.0	1		3
Q9NSA1	Homo sapiens	Metazoa	209	28.0	1		3
Q09131	Glycine max	Plants	464	30.0	1		3
P01567	Homo sapiens	Metazoa	189	23.0	1		3
P05113	Homo sapiens	Metazoa	134	19.0	1		3
P67875	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	176	27.0	1		3
A0A3N2PQC3	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Fungi	99	26.0	1		3
Q8BHP7	Mus musculus	Metazoa	681	32.0	1		3
P08514	Homo sapiens	Metazoa	1039	31.0	1		3
P01224	Sus scrofa	Metazoa	138	20.0	1		3
O09165	Mus musculus	Metazoa	405	34.0	1		3
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18.0	1		3
A8CG89	Daboia russelii	Metazoa	138	16.0	1		3
P01323	Rattus norvegicus	Metazoa	110	24.0	1		3
P02810	Homo sapiens	Metazoa	166	16.0	1		3
P00995	Homo sapiens	Metazoa	79	23.0	1		3
P16094	Momordica charantia	Plants	286	23.0	1		3
Q62005	Mus musculus	Metazoa	623	20.0	1		3
P14214	Tachypleus tridentatus	Metazoa	77	23.0	1		3
O00175	Homo sapiens	Metazoa	119	26.0	1		3
Q1ZY03	Deinagkistrodon acutus	Metazoa	138	16.0	1		3
P26730	Bombyx mori	Metazoa	92	19.0	1		3
P07602	Homo sapiens	Metazoa	524	16.0	1		3
Q9NII5	Olivierus martensii	Metazoa	58	21.0	1		3
P81417	Aedes albopictus	Metazoa	59	23.0	1		3
P01768	Homo sapiens	Metazoa	117	19.0	1		3
Q9JI59	Mus musculus	Metazoa	298	28.0	1		3
P56637	Hottentotta judaicus	Metazoa	94	18.0	1		3
G1CWH6	Clitoria ternatea	Plants	122	25.0	1		3
P28665	Mus musculus	Metazoa	1476	27.0	1		3
P06306	Felis catus	Metazoa	110	24.0	1		3
Q8MI01	Bos taurus	Metazoa	330	23.0	1		3
Q9QXX3	Mus musculus	Metazoa	151	17.0	1		3
Q14392	Homo sapiens	Metazoa	662	19.0	1		3
P04148	Bombyx mori	Metazoa	220	16.0	1		3
Q14112	Homo sapiens	Metazoa	1375	30.0	1		3
P33487	Arabidopsis thaliana	Plants	198	33.0	1		3
Q60557	Mesocricetus auratus	Metazoa	671	21.0	1		3
P01325	Mus musculus	Metazoa	108	24.0	1		3
Q01172	Aspergillus niger	Fungi	379	20.0	1		3
Q9NQ25	Homo sapiens	Metazoa	335	22.0	1		3
Q60736	Mus musculus	Metazoa	579	32.0	1		3
P86870	Vespa magnifica	Metazoa	225	23.0	1		3
P0CZ17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25.0	1		3
P13087	Synsepalum dulcificum	Plants	220	29.0	1		3
P31722	Rattus norvegicus	Metazoa	245	28.0	1		3
Q8WXF3	Homo sapiens	Metazoa	142	25.0	1		3
P29026	Rhizopus oligosporus	Fungi	540	22.0	1		3
P04421	Bos taurus	Metazoa	147	18.0	1		3
Q9EQX0	Mus musculus	Metazoa	117	23.0	1		3
P00450	Homo sapiens	Metazoa	1065	19.0	1		3
Q5FZI5	Protobothrops mucrosquamatus	Metazoa	144	23.0	1		3
Q9YGG9	Gloydius blomhoffii	Metazoa	157	21.0	1		3
